Date,platforms,number_of_fans
2021-05-21,Spotify,32747430
2021-05-28,Spotify,33332012
2021-06-04,Spotify,33659399
2021-06-11,Spotify,33983809
2021-06-18,Spotify,34311647
2021-06-25,Spotify,34623541
2021-07-02,Spotify,34964928
2021-07-09,Spotify,35318509
2021-07-16,Spotify,35734973
2021-07-23,Spotify,36066932
2021-07-30,Spotify,36397124
2021-08-06,Spotify,36723367
2021-08-13,Spotify,37017215
2021-08-20,Spotify,37314303
2021-08-27,Spotify,37608814
2021-09-03,Spotify,37942934
2021-09-10,Spotify,38243743
2021-09-17,Spotify,38574154
2021-09-24,Spotify,38870687
2021-10-01,Spotify,39239856
2021-10-08,Spotify,39445407
2021-10-15,Spotify,39790156
2021-10-22,Spotify,40172739
2021-10-29,Spotify,40467535
2021-11-05,Spotify,40725309
2021-11-12,Spotify,41012783
2021-11-19,Spotify,41362205
2021-11-26,Spotify,41720281
2021-12-03,Spotify,42072321
2021-12-10,Spotify,42440873
2021-12-17,Spotify,42778138
2021-12-24,Spotify,43086117
2022-12-31,Spotify,43447009
2022-01-07,Spotify,43789531
